doc_id,page_number,text
IR_ch1,34,sec merging what about an arbitrary boolean formula brutus or caesar and not antony or cleopatra can we always merge in linear time linear in what can we do better
IR_ch1,35,sec query optimization what is the best order for query processing consider a query that is an and of n terms for each of the n terms get its postings brututshen and them tog ethe r caesar calpurnia query brutus and calpurnia and caesar
IR_ch1,36,sec query optimization example process in order of increasing freq start with smallest set then keep cutting further this is why we kept document freq in dictionary brutus caesar calpurnia execute the query as calpurnia and brutus and caesar
IR_ch1,37,sec more general optimization e g madding or crowd and ignoble or strife get doc freq s for all terms estimate the size of each or by the sum of its doc freq s conservative process in increasing order of or sizes
IR_ch1,38,exercise recommend a query processing order for which two terms should we process first t e k m s t t e a r y a k r a n e e l i m s e r e g e i m s s d e o a r i s l a n c d e o e p e f r e q tangerine or trees and marmalade or skies and kaleidoscope or eyes
IR_ch1,39,query processing exercises exercise if the query is friends and romans and not countrymen how could we use the freq of countrymen exercise extend the merge to an arbitrary boolean query can we always guarantee execution in time linear in the total postings size hint begin with the case of a boolean formula query in this each query term appears only once in the query
IR_ch1,40,exercise try the search feature at http www rhymezone com shakespeare write down five search features you think it could do better
IR_ch1,41,introduction to information retrieval phrase queries and positional indexes
IR_ch1,42,sec phrase queries we want to be able to answer queries such as stanford university as a phrase thus the sentence i went to university at stanford is not a match the concept of phrase queries has proven easily understood by users one of the few advanced search ideas that works many more queries are implicit phrase queries for this it no longer suffices to store only term docs entries
IR_ch1,43,sec a first attempt biword indexes index every consecutive pair of terms in the text as a phrase for example the text friends romans countrymen would generate the biwords friends romans romans countrymen each of these biwords is now a dictionary term two word phrase query processing is now immediate
IR_ch1,44,sec longer phrase queries longer phrases can be processed by breaking them down stanford university palo alto can be broken into the boolean query on biwords stanford university and university palo and palo alto without the docs we cannot verify that the docs matching the above boolean query do contain the phrase can have false positives
IR_ch1,45,sec issues for biword indexes false positives as noted before index blowup due to bigger dictionary infeasible for more than biwords big even for them biword indexes are not the standard solution for all biwords but can be part of a compound strategy
IR_ch1,46,sec solution positional indexes in the postings store for each term the position s in which tokens of it appear term number of docs containing term doc position position doc position position etc
IR_ch1,47,sec positional index example be which of docs could contain to be or not to be for phrase queries we use a merge algorithm recursively at the document level but we now need to deal with more than just equality
IR_ch1,48,sec processing a phrase query extract inverted index entries for each distinct term to be or not merge their doc position lists to enumerate all positions with to be or not to be to be same general method for proximity searches
IR_ch1,49,sec proximity queries limit statute federal tort again here k means within k words of clearly positional indexes can be used for such queries biword indexes cannot exercise adapt the linear merge of postings to handle proximity queries can you make it work for any value of k this is a little tricky to do correctly and efficiently see figure of iir
IR_ch1,50,sec positional index size a positional index expands postings storage substantially even though indices can be compressed nevertheless a positional index is now standardly used because of the power and usefulness of phrase and proximity queries whether used explicitly or implicitly in a ranking retrieval system
IR_ch1,51,sec positional index size need an entry for each occurrence not just once per document index size depends on average document sizewhy average web page has terms sec filings books even some epic poems easily terms consider a term with frequency document size postings positional postings
IR_ch1,52,sec rules of thumb a positional index is as large as a non positional index positional index size of volume of original text caveat all of this holds for english like languages
IR_ch1,53,sec combination schemes these two approaches can be profitably combined for particular phrases michael jackson britney spears it is inefficient to keep on merging positional postings lists even more so for phrases like the who williams et al evaluate a more sophisticated mixed indexing scheme a typical web query mixture was executed in ¼ of the time of using just a positional index it required more space than having a positional index alone
IR_ch1,54,introduction to information retrieval structured vs unstructured data
IR_ch1,55,ir vs databases structured vs unstructured data structured data tends to refer to information in tables employee manager salary smith jones chang smith ivy smith typically allows numerical range and exact match for text queries e g salary and manager smith
IR_ch1,56,unstructured data typically refers to free text allows keyword queries including operators more sophisticated concept queries e g find all web pages dealing with drug abuse classic model for searching text documents
IR_ch1,57,semi structured data in fact almost no data is unstructured e g this slide has distinctly identified zones such as the title and bullets to say nothing of linguistic structure facilitates semi structured search such as title contains data and bullets contain search or even title is about object oriented programming and author something like stro rup where is the wild card operator
IR_ch2,1,introduction to information retrieval introduction to information retrieval introducing information retrieval and web search
IR_ch2,2,introduction to information retrieval information retrieval information retrieval ir is finding material usually documents of an unstructured nature usually text that satisfies an information need from within large collections usually stored on computers these days we frequently think first of web search but there are many other cases e mail search searching your laptop corporate knowledge bases legal information retrieval
IR_ch2,3,introduction to information retrieval unstructured text vs structured database data in the mid nineties unstructured structured data volume market cap
IR_ch2,4,introduction to information retrieval unstructured text vs structured database data today unstructured structured data volume market cap
IR_ch2,5,introduction to information retrieval sec basic assumptions of information retrieval collection a set of documents assume it is a static collection for the moment goal retrieve documents with information that is relevant to the user s information need and helps the user complete a task
IR_ch2,6,introduction to information retrieval the classic search model get rid of mice in a user task politically correct way misconception info about removing mice info need without killing them misformulation query how trap mice alive search search engine query results collection refinement
IR_ch2,7,introduction to information retrieval sec how good are the retrieved docs precision fraction of retrieved docs that are relevant to the user s information need recall fraction of relevant docs in collection that are retrieved more precise definitions and measurements to follow later
IR_ch2,8,introduction to information retrieval introduction to information retrieval term document incidence matrices
IR_ch2,9,introduction to information retrieval sec unstructured data in which plays of shakespeare contain the words brutus and caesar but not calpurnia one could grep all of shakespeare s plays for brutus and caesar then strip out lines containing calpurnia why is that not the answer slow for large corpora not calpurnia is non trivial other operations e g find the word romans near countrymen not feasible ranked retrieval best documents to return later lectures
IR_ch2,10,introduction to information retrieval sec term document incidence matrices antony and cleopatra julius caesar the tempest hamlet othello macbeth antony brutus caesar calpurnia cleopatra mercy worser if play contains brutus and caesar but not word otherwise calpurnia
IR_ch2,11,introduction to information retrieval sec incidence vectors so we have a vector for each term to answer query take the vectors for brutus caesar and calpurnia complemented bitwise and and and antony and cleopatra julius caesar the tempest hamlet othello macbeth antony brutus caesar calpurnia cleopatra mercy worser
IR_ch2,12,introduction to information retrieval sec answers to query antony and cleopatra act iii scene ii agrippa aside to domitius enobarbus why enobarbus when antony found julius caesar dead he cried almost to roaring and he wept when at philippi he found brutus slain hamlet act iii scene ii lord polonius i did enact julius caesar i was killed i the capitol brutus killed me
IR_ch2,13,introduction to information retrieval sec bigger collections consider n million documents each with about words avg bytes word including spaces punctuation gb of data in the documents say there are m k distinct terms among these
IR_ch2,14,introduction to information retrieval sec can t build the matrix k x m matrix has half a trillion s and s but it has no more than one billion s why matrix is extremely sparse what s a better representation we only record the positions
IR_ch2,15,introduction to information retrieval introduction to information retrieval the inverted index the key data structure underlying modern ir
IR_ch2,16,introduction to information retrieval sec inverted index for each term t we must store a list of all documents that contain t identify each doc by a docid a document serial number can we used fixed size arrays for this brutus caesar calpurnia what happens if the word caesar is added to document
IR_ch2,17,introduction to information retrieval sec inverted index we need variable size postings lists on disk a continuous run of postings is normal and best in memory can use linked lists or variable length arrays some tradeoffs in size ease of insertion posting brutus caesar calpurnia postings dictionary sorted by docid more later on why
IR_ch2,18,introduction to information retrieval sec inverted index construction documents to friends romans countrymen be indexed tokenizer token stream friends romans countrymen linguistic modules friend roman countryman modified tokens indexer friend roman inverted index countryman
IR_ch2,19,introduction to information retrieval initial stages of text processing tokenization cut character sequence into word tokens deal with john s a state of the art solution normalization map text and query term to same form you want u s a and usa to match stemming we may wish different forms of a root to match authorize authorization stop words we may omit very common words or not the a to of
IR_ch2,20,introduction to information retrieval sec indexer steps token sequence sequence of modified token document id pairs doc doc i did enact julius so let it be with caesar i was killed caesar the noble i the capitol brutus hath told you brutus killed me caesar was ambitious
IR_ch2,21,introduction to information retrieval sec indexer steps sort sort by terms at least conceptually and then docid core indexing step
IR_ch2,22,introduction to information retrieval sec indexer steps dictionary postings multiple term entries in a single document are merged split into dictionary and postings doc frequency information is added why frequency will discuss later
IR_ch2,23,introduction to information retrieval sec where do we pay in storage lists of docids terms and counts ir system implementation how do we index efficiently how much storage do we need pointers
IR_ch2,24,introduction to information retrieval introduction to information retrieval query processing with an inverted index
IR_ch2,25,introduction to information retrieval sec the index we just built how do we process a query our focus later what kinds of queries can we process
IR_ch2,26,introduction to information retrieval sec query processing and consider processing the query brutus and caesar locate brutus in the dictionary retrieve its postings locate caesar in the dictionary retrieve its postings merge the two postings intersect the document sets brutus caesar
IR_ch2,27,introduction to information retrieval sec the merge walk through the two postings simultaneously in time linear in the total number of postings entries brutus caesar if the list lengths are x and y the merge takes o x y operations crucial postings sorted by docid
IR_ch2,28,introduction to information retrieval intersecting two postings lists a merge algorithm
IR_ch2,29,introduction to information retrieval introduction to information retrieval the boolean retrieval model extended boolean models
IR_ch2,30,introduction to information retrieval sec boolean queries exact match the boolean retrieval model is being able to ask a query that is a boolean expression boolean queries are queries using and or and not to join query terms views each document as a set of words is precise document matches condition or not perhaps the simplest model to build an ir system on primary commercial retrieval tool for decades many search systems you still use are boolean email library catalog macos spotlight
IR_ch2,31,introduction to information retrieval sec example westlaw http www westlaw com largest commercial paying subscribers legal search service started ranking added new federated search added tens of terabytes of data users majority of users still use boolean queries example query what is the statute of limitations in cases involving the federal tort claims act limit statute action s federal tort claim within words s in same sentence
IR_ch2,32,introduction to information retrieval sec example westlaw http www westlaw com another example query requirements for disabled people to be able to access a workplace disabl p access s work site work place employment place note that space is disjunction not conjunction long precise queries proximity operators incrementally developed not like web search many professional searchers still like boolean search you know exactly what you are getting but that doesn t mean it actually works better
IR_ch2,33,introduction to information retrieval sec boolean queries more general merges exercise adapt the merge for the queries brutus and not caesar brutus or not caesar can we still run through the merge in time o x y what can we achieve
IR_ch2,34,introduction to information retrieval sec merging what about an arbitrary boolean formula brutus or caesar and not antony or cleopatra can we always merge in linear time linear in what can we do better
IR_ch2,35,introduction to information retrieval sec query optimization what is the best order for query processing consider a query that is an and of n terms for each of the n terms get its postings then and them together brutus caesar calpurnia query brutus and calpurnia and caesar
IR_ch2,36,introduction to information retrieval sec query optimization example process in order of increasing freq start with smallest set then keep cutting further this is why we kept document freq in dictionary brutus caesar calpurnia execute the query as calpurnia and brutus and caesar
IR_ch2,37,introduction to information retrieval exercise recommend a query processing order for which two terms should we process first t e k m s t t e a r y a k r a n e e l i m s e r e g e i m s s d e o a r i s l a n c d e o e p e f r e q tangerine or trees and marmalade or skies and kaleidoscope or eyes
IR_ch2,38,introduction to information retrieval sec more general optimization e g madding or crowd and ignoble or strife get doc freq s for all terms estimate the size of each or by the sum of its doc freq s conservative process in increasing order of or sizes
IR_ch2,39,introduction to information retrieval query processing exercises exercise if the query is friends and romans and not countrymen how could we use the freq of countrymen exercise extend the merge to an arbitrary boolean query can we always guarantee execution in time linear in the total postings size hint begin with the case of a boolean formula query in this each query term appears only once in the query
IR_ch2,40,introduction to information retrieval exercise try the search feature at http www rhymezone com shakespeare write down five search features you think it could do better
IR_ch2,41,introduction to information retrieval introduction to information retrieval phrase queries and positional indexes
IR_ch2,42,introduction to information retrieval sec phrase queries we want to be able to answer queries such as stanford university as a phrase thus the sentence i went to university at stanford is not a match the concept of phrase queries has proven easily understood by users one of the few advanced search ideas that works many more queries are implicit phrase queries for this it no longer suffices to store only term docs entries
IR_ch2,43,introduction to information retrieval sec a first attempt biword indexes index every consecutive pair of terms in the text as a phrase for example the text friends romans countrymen would generate the biwords friends romans romans countrymen each of these biwords is now a dictionary term two word phrase query processing is now immediate
IR_ch2,44,introduction to information retrieval sec longer phrase queries longer phrases can be processed by breaking them down stanford university palo alto can be broken into the boolean query on biwords stanford university and university palo and palo alto without the docs we cannot verify that the docs matching the above boolean query do contain the phrase can have false positives
IR_ch2,45,introduction to information retrieval sec issues for biword indexes false positives as noted before index blowup due to bigger dictionary infeasible for more than biwords big even for them biword indexes are not the standard solution for all biwords but can be part of a compound strategy
IR_ch2,46,introduction to information retrieval sec solution positional indexes in the postings store for each term the position s in which tokens of it appear term number of docs containing term doc position position doc position position etc
IR_ch2,47,introduction to information retrieval sec positional index example be which of docs could contain to be or not to be for phrase queries we use a merge algorithm recursively at the document level but we now need to deal with more than just equality
IR_ch2,48,introduction to information retrieval sec processing a phrase query extract inverted index entries for each distinct term to be or not merge their doc position lists to enumerate all positions with to be or not to be to be same general method for proximity searches
IR_ch2,49,introduction to information retrieval sec proximity queries limit statute federal tort again here k means within k words of clearly positional indexes can be used for such queries biword indexes cannot exercise adapt the linear merge of postings to handle proximity queries can you make it work for any value of k this is a little tricky to do correctly and efficiently see figure of iir
IR_ch2,50,introduction to information retrieval sec positional index size a positional index expands postings storage substantially even though indices can be compressed nevertheless a positional index is now standardly used because of the power and usefulness of phrase and proximity queries whether used explicitly or implicitly in a ranking retrieval system
IR_ch2,51,introduction to information retrieval sec positional index size need an entry for each occurrence not just once per document index size depends on average document size why average web page has terms sec filings books even some epic poems easily terms consider a term with frequency document size postings positional postings
IR_ch2,52,introduction to information retrieval sec rules of thumb a positional index is as large as a non positional index positional index size of volume of original text caveat all of this holds for english like languages
IR_ch2,53,introduction to information retrieval sec combination schemes these two approaches can be profitably combined for particular phrases michael jackson britney spears it is inefficient to keep on merging positional postings lists even more so for phrases like the who williams et al evaluate a more sophisticated mixed indexing scheme a typical web query mixture was executed in ¼ of the time of using just a positional index it required more space than having a positional index alone
IR_ch3,1,introduction to information retrieval introduction to information retrieval cs information retrieval and web search basic inverted index construction
IR_ch3,2,introduction to information retrieval ch index construction how do we construct an index what strategies can we use with limited main memory
IR_ch3,3,introduction to information retrieval sec recall index construction term doc i did documents are parsed to extract words and these enact julius are saved with the document id caesar i was killed i the capitol brutus killed me doc doc so let it be i did enact julius with so let it be with caesar the caesar i was killed caesar the noble noble brutus i the capitol brutus hath told you hath told brutus killed me you caesar was ambitious caesar was ambitious
IR_ch3,4,introduction to information retrieval t e r m id id e n a c t ju liu s c a e s a r iw a s k ille d i t h e c a p it o l b r u t u s k ille d m e s o le t itb e w it h c a e s a r t h e n o b le b r u t u s h a t h t o ld y o u c a e s a r w a s a m b it io u s d o c t e r m a m b it io b e b r u t u s b r u t u s c a p it o l c a e s a r c a e s a r c a e s a r d id e n a c t h a t h ii i itju liu s k ille d k ille d le t m e n o b le s o t h e t h e t o ld y o u w a s w a s w it h u s d o c sec key step after all documents have been parsed the inverted file is sorted by terms we focus on this sort step
IR_ch3,5,introduction to information retrieval sec rcv our collection for this lecture as an example for applying scalable index construction algorithms we will use the reuters rcv collection this is one year of reuters newswire part of and the collection isn t really large enough but it s publicly available and is a plausible example
IR_ch3,6,introduction to information retrieval sec a reuters rcv document
IR_ch3,7,introduction to information retrieval sec reuters rcv statistics symbol statistic value n documents l avg tokens per doc m terms word types avg bytes per token incl spaces punct avg bytes per token without spaces punct avg bytes per term non positional postings bytes per word token vs bytes per word type why
IR_ch3,8,introduction to information retrieval sec sort based index construction as we build the index we parse docs one at a time the final postings for any term are incomplete until the end at bytes per termid docid demands a lot of space for large collections t in the case of rcv so we can do this in memory today but typical collections are much larger e g the new york times provides an index of years of newswire thus we need to store intermediate results on disk
IR_ch3,9,introduction to information retrieval sec scaling index construction in memory index construction does not scale can t stuff entire collection into memory sort then write back how can we construct an index for very large collections taking into account hardware constraints memory disk speed etc let s review some hardware basics
IR_ch3,10,introduction to information retrieval sec hardware basics servers used in ir systems now typically have several gb of main memory sometimes tens of gb available disk space is several orders of magnitude larger fault tolerance is very expensive it s much cheaper to use many regular machines rather than one fault tolerant machine
IR_ch3,11,introduction to information retrieval sec hardware basics access to data in memory is much faster than access to data on disk disk seeks no data is transferred from disk while the disk head is being positioned therefore transferring one large chunk of data from disk to memory is faster than transferring many small chunks disk i o is block based reading and writing of entire blocks as opposed to smaller chunks block sizes kb to kb
IR_ch3,12,introduction to information retrieval sec hardware assumptions circa symbol statistic value s average seek time ms x s b transfer time per byte μs x s processor s clock rate s p low level operation μs s e g compare swap a word size of main memory several gb size of disk space tb or more
IR_ch3,13,introduction to information retrieval sec sort using disk as memory can we use the same index construction algorithm for larger collections but by using disk instead of memory no sorting t records on disk is too slow too many disk seeks we need an external sorting algorithm
IR_ch3,14,introduction to information retrieval introduction to information retrieval cs information retrieval and web search external memory indexing
IR_ch3,15,introduction to information retrieval sec bsbi blocked sort based indexing sorting with fewer disk seeks byte records termid docid these are generated as we parse docs must now sort m such byte records by termid define a block m such records can easily fit a couple into memory will have such blocks to start with basic idea of algorithm accumulate postings for each block sort write to disk then merge the blocks into one long sorted order
IR_ch3,16,introduction to information retrieval sec
IR_ch3,17,introduction to information retrieval sec sorting blocks of m records first read each block and sort within quicksort takes o n ln n expected steps in our case n m times this estimate gives us sorted runs of m records each done straightforwardly need copies of data on disk but can optimize this
IR_ch3,18,introduction to information retrieval sec how to merge the sorted runs can do binary merges with a merge tree of log layers during each layer read into memory runs in blocks of m merge write back brutus d d d d brutus d d brutus d d caesar d d d d d caesar d d d caesar d d julius d noble d julius d killed d with d d d d killed d noble d with d d d d postings lists merged to be merged postings list disk
IR_ch3,19,introduction to information retrieval sec how to merge the sorted runs but it is more efficient to do a multi way merge where you are reading from all blocks simultaneously open all block files simultaneously and maintain a read buffer for each one and a write buffer for the output file in each iteration pick the lowest termid that hasn t been processed using a priority queue merge all postings lists for that termid and write it out providing you read decent sized chunks of each block into memory and then write out a decent sized output chunk then you re not killed by disk seeks
IR_ch3,20,introduction to information retrieval sec remaining problem with sort based algorithm our assumption was we can keep the dictionary in memory we need the dictionary which grows dynamically in order to implement a term to termid mapping
IR_ch3,21,introduction to information retrieval sec spimi single pass in memory indexing key idea generate separate dictionaries for each block no need to maintain term termid mapping across blocks key idea don t sort accumulate postings in postings lists as they occur with these two ideas we can generate a complete inverted index for each block these separate indexes can then be merged into one big index
IR_ch3,22,introduction to information retrieval sec spimi invert merging of blocks is analogous to bsbi
IR_ch3,23,introduction to information retrieval spimi in action sorted input token dictionary dictionary brutus d d caesar d brutus d d with d caesar d d d with d d d d brutus d noble d noble d caesar d with d d d d with d caesar d d d brutus d with d caesar d noble d with d
IR_ch3,24,introduction to information retrieval sec spimi compression compression makes spimi even more efficient compression of terms compression of postings more on this later original publication on spimi heinz and zobel
IR_ch3,25,introduction to information retrieval introduction to information retrieval cs information retrieval and web search distributed indexing
IR_ch3,26,introduction to information retrieval sec distributed indexing for web scale indexing don t try this at home must use a distributed computing cluster individual machines are fault prone can unpredictably slow down or fail how do we exploit such a pool of machines
IR_ch3,27,introduction to information retrieval sec web search engine data centers web search data centers google bing baidu mainly contain commodity machines data centers are distributed around the world estimate google million servers million processors cores gartner
IR_ch3,28,introduction to information retrieval sec massive data centers if in a non fault tolerant system with nodes each node has uptime what is the uptime of the entire system answer meaning of the time one or more servers is down exercise calculate the number of servers failing per minute for an installation of million servers
IR_ch3,29,introduction to information retrieval sec distributed indexing maintain a master machine directing the indexing job considered safe break up indexing into sets of parallel tasks master machine assigns each task to an idle machine from a pool
IR_ch3,30,introduction to information retrieval sec parallel tasks we will use two sets of parallel tasks parsers inverters break the input document collection into splits each split is a subset of documents corresponding to blocks in bsbi spimi
IR_ch3,31,introduction to information retrieval sec data flow master assign assign postings parser a f g p q z inverter a f parser a f g p q z inverter g p splits inverter q z parser a f g p q z map reduce segment files phase phase
IR_ch3,32,introduction to information retrieval sec parsers master assigns a split to an idle parser machine parser reads a document at a time and emits term doc pairs parser writes pairs into j partitions example each partition is for a range of terms first letters e g a f g p q z here j now to complete the index inversion
IR_ch3,33,introduction to information retrieval sec inverters an inverter collects all term doc pairs postings for one term partition sorts and writes to postings lists
IR_ch3,34,introduction to information retrieval example for index construction map caesar conquered d c came c c ed d c died c d came d c d c ed d c d died d reduce c d d d died d came d c ed d c d d died d came d c ed d
IR_ch3,35,introduction to information retrieval sec index construction index construction was just one phase another phase transforming a term partitioned index into a document partitioned index term partitioned one machine handles a subrange of terms document partitioned one machine handles a subrange of documents as we ll discuss in the web part of the course most search engines use a document partitioned index better load balancing etc
IR_ch3,36,introduction to information retrieval sec mapreduce the index construction algorithm we just described is an instance of mapreduce mapreduce dean and ghemawat is a robust and conceptually simple framework for distributed computing without having to write code for the distribution part they describe the google indexing system ca as consisting of a number of phases each implemented in mapreduce
IR_ch3,37,introduction to information retrieval sec schema for index construction in mapreduce schema of map and reduce functions map input list k v reduce k list v output instantiation of the schema for index construction map collection list termid docid reduce termid list docid termid list docid postings list postings list
IR_ch3,38,introduction to information retrieval introduction to information retrieval cs information retrieval and web search dynamic indexing
IR_ch3,39,introduction to information retrieval sec dynamic indexing up to now we have assumed that collections are static they rarely are documents come in over time and need to be inserted documents are deleted and modified this means that the dictionary and postings lists have to be modified postings updates for terms already in dictionary new terms added to dictionary
IR_ch3,40,introduction to information retrieval sec simplest approach maintain big main index new docs go into small auxiliary index search across both merge results deletions invalidation bit vector for deleted docs filter docs output on a search result by this invalidation bit vector periodically re index into one main index
IR_ch3,41,introduction to information retrieval sec issues with main and auxiliary indexes problem of frequent merges you touch stuff a lot poor performance during merge actually merging of the auxiliary index into the main index is efficient if we keep a separate file for each postings list merge is the same as a simple append but then we would need a lot of files inefficient for os assumption for the rest of the lecture the index is one big file in reality use a scheme somewhere in between e g split very large postings lists collect postings lists of length in one file etc
IR_ch3,42,introduction to information retrieval sec logarithmic merge maintain a series of indexes each twice as large as the previous one at any time some of these powers of are instantiated keep smallest z in memory larger ones i i on disk if z gets too big n write to disk as i or merge with i if i already exists as z either write merge z to disk as i if no i or merge with i to form z
IR_ch3,43,introduction to information retrieval logarithmic merge in action n z z z z n i i i i n i i i i n i n n
IR_ch3,44,introduction to information retrieval sec
IR_ch3,45,introduction to information retrieval sec logarithmic merge auxiliary and main index t n merges where t is of postings and n is size of auxiliary index construction time is o t n as in the worst case a posting is touched t n times logarithmic merge each posting is merged at most o log t n times so complexity is o t log t n so logarithmic merge is much more efficient for index construction but query processing now requires the merging of o log t n indexes whereas it is o if you just have a main and auxiliary index
IR_ch3,46,introduction to information retrieval sec further issues with multiple indexes collection wide statistics are hard to maintain e g when we speak of spell correction which of several corrected alternatives do we present to the user we may want to pick the one with the most hits how do we maintain the top ones with multiple indexes and invalidation bit vectors one possibility ignore everything but the main index for such ordering will see more such statistics used in results ranking
IR_ch3,47,introduction to information retrieval sec dynamic indexing at search engines all the large search engines now do dynamic indexing their indices have frequent incremental changes news items blogs new topical web pages but sometimes typically they also periodically reconstruct the index from scratch query processing is then switched to the new index and the old index is deleted
IR_ch3,48,introduction to information retrieval earlybird real time search at twitter requirements for real time search low latency high throughput query evaluation high ingestion rate and immediate data availability concurrent reads and writes of the index dominance of temporal signal
IR_ch3,49,introduction to information retrieval earlybird index organization earlybird consists of multiple index segments each segment is relatively small holding up to tweets each posting in a segment is a bit word bits for the tweet id and bits for the position in the tweet only one segment can be written to at any given time small enough to be in memory new postings are simply appended to the postings list but the postings list is traversed backwards to prioritize newer tweets the remaining segments are optimized for read only postings sorted in reverse chronological order newest first
IR_ch3,50,introduction to information retrieval sec other sorts of indexes positional indexes same sort of sorting problem just larger why building character n gram indexes as text is parsed enumerate n grams for each n gram need pointers to all dictionary terms containing it the postings
IR_ch3,51,introduction to information retrieval ch resources for today s lecture chapter of iir mg chapter original publication on mapreduce dean and ghemawat original publication on spimi heinz and zobel earlybird busch et al icde
IR_ch4,1,introduction to information retrieval introduction to information retrieval cs information retrieval and web search christopher manning and pandu nayak lecture index compression
